first_page_summary,genres
"The life, times and afflictions of the fifteenth-century Russian iconographer St. Andrei Rublev.","['Biography', 'Drama', 'History']"
"At the dawn of World War III, a man searches for a way to restore peace to the world and finds he must give something in return.",['Drama']
"A dying man in his forties remembers his past. His childhood, his mother, the war, personal moments and things that tell of the recent history of all the Russian nation.","['Biography', 'Drama']"
"A Russian poet and his interpreter travel to Italy researching the life of an 18th-century composer, and instead meet a ruminative madman who tells the poet how the world may be saved.",['Drama']
"During WWII, Soviet orphan Ivan Bondarev strikes up a friendship with three sympathetic Soviet officers while working as a scout behind the German lines.","['Drama', 'War']"
Acclaimed Russian director Andrei Tarkovsky and his screenwriter Tonino Guerra travel all over Italy to scout locations for the film Nostalghia.,['Documentary']
A harried movie director retreats into his memories and fantasies.,['Drama']
,"['Short', 'Comedy']"
A short documentary about the production of The Big Lebowski (1998).,"['Documentary', 'Short']"
,['Talk-Show']
"After another ruined Christmas dinner, a mother is determined to make her family reflect on their misdeeds.",['Comedy']
"A trio of misfits whose irreverent, sexually charged dynamic evolves into a surprising love story as their spontaneous and flippant attitude towards the past or future backfires time and aga... Read all","['Comedy', 'Crime', 'Drama']"
"An aspiring actor whose career is in the dumps, exploits his amazing bowling skills to take the PBA by storm and becomes rich and famous, only to lose his best girl and best friend...","['Comedy', 'Sport']"
"In a post apocalyptic world run by vampires, only the strong survive. John Shepard, Vampire Hunter, is one of them. John has to track down and eliminate the master vampire before he himself ... Read all","['Action', 'Horror', 'Sci-Fi']"
"Stranded after a car accident, a medical school student and her friends try to find shelter - only to cross paths with a deranged killer.","['Horror', 'Mystery', 'Thriller']"
Watch what happens when Carrie Bradshaw and The Dude change up the usual.,"['Short', 'Comedy']"
"High schooler Greg, who spends most of his time making parodies of classic movies with his co-worker Earl, finds his outlook forever altered after befriending a classmate who has just been d... Read all","['Comedy', 'Drama', 'Romance']"
"A day at a group home for troubled adolescents. Denim is the head counselor, involved somehow with Natalia, another counselor. During the day, we watch them and other staff deal with a boy w... Read all","['Short', 'Drama']"
"A hard-partying high school senior's philosophy on life changes when he meets the not-so-typical ""nice girl.""","['Drama', 'Romance']"
Underachieving cousins Phil and Danny O'Donnell are forced to run the family pub to save their eccentric uncle from jail time and financial ruin.,['Comedy']
A young girl comes of age in a dysfunctional family of nonconformist nomads with a mother who's an eccentric artist and an alcoholic father who would stir the children's imagination with hop... Read all,"['Biography', 'Drama']"
A clinically-depressed teenager gets a new start after he checks himself into an adult psychiatric ward.,"['Comedy', 'Drama', 'Romance']"
A man suffering a family loss enrolls in a class about care-giving that changes his perspective on life.,"['Comedy', 'Drama']"
An introverted teenage girl tries to survive the last week of her disastrous eighth grade year before leaving to start high school.,"['Comedy', 'Drama', 'Horror']"
"Three teenage friends, in the ultimate act of independence, decide to spend their summer building a house in the woods and living off the land.","['Adventure', 'Comedy', 'Drama']"
"In the forests of the Pacific Northwest, a father devoted to raising his six kids with a rigorous physical and intellectual education is forced to leave his paradise and enter the world, cha... Read all","['Comedy', 'Drama']"
"A young lad notices a beautiful girl who begins to occupy his thoughts. While struggling with poverty, personal relationships and life's woes, he starts a band, hoping to catch her attention... Read all","['Comedy', 'Drama', 'Music']"
"The early years of James Logan, featuring his rivalry with his brother Victor Creed, his service in the special forces team Weapon X, and his experimentation into the metal-lined mutant Wolv... Read all","['Action', 'Sci-Fi']"
"The human government develops a cure for mutations, and Jean Gray becomes a darker uncontrollable persona called the Phoenix who allies with Magneto, causing escalation into an all-out battl... Read all","['Action', 'Adventure', 'Sci-Fi']"
"When anti-mutant Colonel William Stryker kidnaps Professor X and attacks his school, the X-Men must ally with their archenemy Magneto to stop him.","['Action', 'Sci-Fi', 'Thriller']"
A recently divorced man meets an emotionally devastated widow and they begin a love affair.,['Drama']
"In the 1980s the X-Men must defeat an ancient all-powerful mutant, En Sabah Nur, who intends to thrive through bringing destruction to the world.","['Action', 'Adventure', 'Sci-Fi']"
"In a world where mutants (evolved super-powered humans) exist and are discriminated against, two groups form for an inevitable clash: the supremacist Brotherhood, and the pacifist X-Men.","['Action', 'Adventure', 'Sci-Fi']"
"Bruce Banner, a scientist on the run from the U.S. Government, must find a cure for the monster he turns into whenever he loses his temper.","['Action', 'Adventure', 'Sci-Fi']"
"Under the tutelage of Rocky Balboa, newly crowned heavyweight champion Adonis Creed faces off against Viktor Drago, the son of Ivan Drago.","['Action', 'Drama', 'Sport']"
"Jean Grey begins to develop incredible powers that corrupt and turn her into a Dark Phoenix, causing the X-Men to decide if her life is worth more than all of humanity.","['Action', 'Adventure', 'Sci-Fi']"
"In Thailand, John Rambo joins a group of mercenaries to venture into war-torn Burma, and rescue a group of Christian aid workers who were kidnapped by the ruthless local infantry unit.","['Action', 'Adventure', 'Thriller']"
"Adonis has been thriving in both his career and family life, but when a childhood friend and former boxing prodigy resurfaces, the face-off is more than just a fight.","['Action', 'Drama', 'Sport']"
Rambo mounts a one-man mission to rescue his friend Colonel Trautman from the clutches of the formidable invading Soviet forces in Afghanistan.,"['Action', 'Adventure', 'Thriller']"
"During World War II, the English mathematical genius Alan Turing tries to crack the German Enigma code with help from fellow mathematicians while attempting to come to terms with his trouble... Read all","['Biography', 'Drama', 'Thriller']"
"During the Iraq War, a Sergeant recently assigned to an army bomb squad is put at odds with his squad mates due to his maverick way of handling his work.","['Drama', 'Thriller', 'War']"
A man suffering from Tourette's syndrome has to give an important speech and enlists the help of a Chinese speech therapist to get him through it.,"['Short', 'Comedy', 'Drama']"
"A young man who survives a disaster at sea is hurtled into an epic journey of adventure and discovery. While cast away, he forms an unexpected connection with another survivor: a fearsome Be... Read all","['Adventure', 'Drama', 'Fantasy']"
"The true story of Captain Richard Phillips and the 2009 hijacking by Somali pirates of the U.S.-flagged MV Maersk Alabama, the first American cargo ship to be hijacked in two hundred years.","['Action', 'Biography', 'Crime']"
"A chronicle of the decade-long hunt for al-Qaeda terrorist leader Osama bin Laden after the September 2001 attacks, and his death at the hands of the Navy S.E.A.L.s Team 6 in May 2011.","['Drama', 'History', 'Thriller']"
The final installment of the Tales to Chill the Bone Series with 5 more final short films.,"['Short', 'Horror']"
A woman smoking marijuana is stalked and pursued by an unseen killer on April 20th,"['Short', 'Horror']"
Lancelot battles foes via sword fights in this comedic short,"['Short', 'Adventure', 'Comedy']"
"Tommy Porter is finding it hard adjusting to his new town, until he meets a new friend with a questionable past. A coming of age short film about death, growing up, and change.","['Short', 'Drama']"
"Wesley Castle and his friends are throwing a party in the former home of Michael Myers on Halloween night. Unbeknownst to them, Myers has escaped Smith's Grove Sanitarium and is coming home ... Read all","['Short', 'Horror']"
"Two teens run down a mysterious man in a green jacket, only to be followed by him thereafter.","['Short', 'Horror', 'Thriller']"
Batman is trying to give an urgent message to the people of Gotham when his greatest rival takes over the broadcast and turns it into mayhem,"['Short', 'Adventure', 'Thriller']"
"After his father's death, young Hamlet goes insane and murders multiple people leading up to a rooftop showdown with his father's killer.","['Short', 'Action', 'Comedy']"
The small Town Grover's Bend is in for trouble once again as a misfit ship of Crites crash lands into a area strip mall causing havoc and death to patrons through the town.,"['Short', 'Sci-Fi']"
"Smith's Grove Sanitarium is being shut down due to state budget cuts. They must transport the most dangerous THREE to the Livingston County Jail (just outside Haddonfield, IL) temporarily - ... Read all","['Action', 'Horror', 'Thriller']"
A young hot-shot stock car driver gets his chance to compete at the top level.,"['Action', 'Drama', 'Sport']"
"In a near future, a lonely writer develops an unlikely relationship with an operating system designed to meet his every need.","['Drama', 'Romance', 'Sci-Fi']"
A young lawyer joins a prestigious law firm only to discover that it has a sinister dark side.,"['Drama', 'Mystery', 'Thriller']"
"A Chicago teenager is looking for fun at home while his parents are away, but the situation quickly gets out of hand.","['Comedy', 'Crime', 'Drama']"
"A dramatization of the July 20, 1944 assassination and political coup plot by desperate renegade German Army officers against Adolf Hitler during World War II.","['Drama', 'History', 'Thriller']"
"A young Irish couple flee to the States, but subsequently struggle to obtain land and prosper freely.","['Adventure', 'Drama', 'Romance']"
New Orleans District Attorney Jim Garrison discovers there's more to the Kennedy assassination than the official story.,"['Drama', 'History', 'Thriller']"
A coming-of-age story based on the lives of street rappers in Mumbai.,"['Drama', 'Music', 'Romance']"
"During the Vietnam War, a Vietnamese woman struggles hustling on the streets, where she comes face to face with those involved in the conflict around her.","['Action', 'Biography', 'Drama']"
"When Sarpatta Parambarai is challenged to a do-or-die match, will Kabilan, a young labourer, put on the gloves himself and lead his clan to victory, or be dissuaded by his disapproving mothe... Read all","['Action', 'Drama', 'Sport']"
"Vikram, a no-nonsense police officer, accompanied by Simon, his partner, is on the hunt to capture Vedha, a smuggler and a murderer. Vedha tries to change Vikram's life, which leads to a con... Read all","['Action', 'Crime', 'Drama']"
A failed cricketer decides to revive his cricketing career in his late 30's despite everyone being skeptical of his ability to do so.,"['Drama', 'Sport']"
Two high school sweethearts meet at a reunion after 22 years and reminisce about their past.,"['Drama', 'Romance']"
Dharma is stuck in a rut with his negative and lonely lifestyle and spends each day in the comfort of his loneliness. A pup named Charlie enters his life and gives him a new perspective towa... Read all,"['Adventure', 'Comedy', 'Drama']"
,['Short']
"Lola is pregnant. But she does not know who the father is: Jamal, the black muslim, son of diplomats, or Felix, the pennyless jewish messenger. Jamal and Felix meet at Lola's, and the race b... Read all","['Comedy', 'Romance']"
A young Algerian man is sent to a French prison.,"['Crime', 'Drama']"
"Follows the lives of the Borgen family, as they deal with inner conflict, as well as religious conflict with each other, and the rest of the town.",['Drama']
"On the eve of a mass suicide, Joseph Layton must convince two of his followers that he intends to carry out their plans.","['Drama', 'Thriller']"
"Geethanjali, who is already the girlfriend of the college rowdy Ajay, is pursued by the free spirited and Arya. Arya relentlessly tries to woo Geethanjali causing problems between him and Aj... Read all","['Action', 'Comedy', 'Drama']"
An adrenaline junkie's quest for kicks leads him to a life of crime.,"['Action', 'Comedy', 'Crime']"
"Two men, one young and arrogant, the other damaged - physically but not spiritually - by life, are thrown together by circumstances, and find that they are in some ways bound together by fat... Read all","['Adventure', 'Comedy', 'Drama']"
"A common man's struggles against a corrupt police force put him on the wrong side of the law. He becomes a don, who is loved and respected by many, but his growing power and influence exact ... Read all","['Crime', 'Drama']"
Four labourers are tortured by the police to confess to a theft they have not committed.,"['Crime', 'Drama', 'Thriller']"
A young carrom player in north Chennai becomes a reluctant participant in a war between two warring gangsters.,"['Action', 'Crime', 'Drama']"
"Karnan, a fearless village youth, must fight for the rights of the conservative people of his village, due to the torture given by a police officer.","['Action', 'Drama']"
"Siddharth Abimanyu, an influential scientist, is involved in various illegal medical practices. Mithran, an efficient IPS officer, decides to expose him.","['Action', 'Crime', 'Thriller']"
An atheist sues god after losing his shop in an earthquake.,"['Comedy', 'Drama', 'Fantasy']"
"In 1975, a filmmaker agrees to collaborate on a film with a gangster who wishes to become a famous actor.","['Action', 'Comedy', 'Drama']"
"When a dynastic struggle between the collateral branches of the Kuru clan, the Kauravas and Pandavas lead them to the threshold of war, Lord Krishna decides to step in and take control of th... Read all","['Action', 'Adventure', 'Drama']"
"Years before Father Lankester Merrin helped save Regan MacNeil's soul, he first encounters the demon Pazuzu in East Africa. This is the tale of Father Merrin's initial battle with Pazuzu and... Read all","['Horror', 'Mystery', 'Thriller']"
"When two girls disappear into the woods and return three days later with no memory of what happened to them, the father of one girl seeks out Chris MacNeil, who's been forever altered by wha... Read all",['Horror']
"Years before Father Lankester Merrin helped save Regan MacNeil's soul, he first encounters the demon Pazuzu in East Africa. Merrin's initial battle with Pazuzu leads to the rediscovery of hi... Read all","['Drama', 'Horror', 'Thriller']"
Follows two priests dealing with cases of a demonic presence targeting a family and a foster home.,"['Drama', 'Horror', 'Mystery']"
"William Peter Blatty's director's cut of ""The Exorcist III"" which was thought to be lost. Recovered and released in 2016 under its original title, this is the definitive cut of the film base... Read all","['Horror', 'Mystery', 'Thriller']"
An alternate opening to 'Exorcist II: The Heretic'.,"['Short', 'Horror']"
''Plot under wraps'',['Horror']
"Damien the Antichrist, now about to turn thirteen years old, finally learns of his destiny under the guidance of an unholy disciple of Satan. Meanwhile dark forces begin to eliminate all tho... Read all",['Horror']
"Newlyweds and their three children move into a large house where a mass murder was committed. They start to experience strange, inexplicable manifestations which have strong effects on every... Read all",['Horror']
"Prince Hamlet struggles over whether or not he should kill his uncle, whom he suspects has murdered his father, the former king.",['Drama']
"When young Father O'Malley arrives at St. Dominic's, old Father Fitzgibbon doesn't think much of the church's newest member.","['Comedy', 'Drama', 'Music']"
"A young couple struggling to save their marriage after the tragic loss of their baby son moves to idyllic Mammoth Lakes, California. Filmed over thirty-five years, we see their journey throu... Read all",['Drama']
"After the death of his wife and daughter in a car crash, a music professor staying at a long-vacant Seattle mansion is dragged into a decades-old mystery by an inexplicable presence in the m... Read all","['Horror', 'Mystery']"
Greer Garson and Walter Pidgeon reprise their legendary roles as Mr. and Mrs. Miniver in this lovingly crafted sequel to their Academy Award®-winning hit Mrs. Miniver.,['Drama']
"A teenage boy and his friends face off against a mysterious grave robber, known only as the Tall Man, who employs a lethal arsenal of unearthly weapons.","['Horror', 'Sci-Fi']"
An insurance investigator begins discovering that the impact a horror writer's books have on his fans is more than inspirational.,"['Drama', 'Fantasy', 'Horror']"
,"['Action', 'Adventure', 'Comedy']"
"A fantasy by Rowling's book takes place in the world of Harry Potter. Newt Scamander, a member of the wizarding community in New York, is trying to locate any mystery that destroys the city.",['Short']
Every year children are dumped in this dystopian society where they make their own rules and try to survive. With no memory from their life before. They set up specific jobs for everyone and... Read all,"['Documentary', 'Short']"
Newcomers to the country-music business seek love and stardom.,"['Comedy', 'Drama', 'Music']"
Related are the difficulties and surprising ease that was found working with the Japanese crew. The Japanese citizens and their modes of dress were also educating to all.,"['Short', 'Action']"
"Dealing with nuclear testing and its deadly effects, the story portrays Boy, a young widower living in the desert on a nuclear testing site. Living as a hermit, he waits for the end of the w... Read all",['Thriller']
The eldest son of a fugitive family comes of age and wants to live his own life.,"['Crime', 'Drama', 'Music']"
Two best friends living on the streets of Portland as hustlers embark on a journey of self discovery and find their relationship stumbling along the way.,['Drama']
"Before leaving to fight in Vietnam, a group of teenagers play a game where they try to seduce the ugliest girl they can find.","['Comedy', 'Drama', 'Romance']"
A security pro finds his past returning to haunt him when he and his unique team are tasked with retrieving a particularly important item.,"['Comedy', 'Crime', 'Drama']"
"Retrospective documentary on the making of ""Stand By Me"".","['Documentary', 'Short']"
"Mad with grief after the death of his Kiowa wife, Talbot awaits death under a tree with her body beside him. She begins to haunt him because he won't burn her. His father, who bought him the... Read all","['Drama', 'Horror', 'Western']"
Two troubled adolescents chronicle the events that ultimately lead up to a terrifying assault on their school.,['Drama']
An honest New York cop named Frank Serpico blows the whistle on rampant corruption in the force only to have his comrades turn against him.,"['Biography', 'Crime', 'Drama']"
"Lyndon B. Johnson aligns himself with John F. Kennedy, rises to the Presidency, and deals with the civil rights struggles of the 1960s.","['Biography', 'Drama', 'History']"
"A documentary about the comedian and filmmaker Albert Brooks which includes interviews from Sharon Stone, Larry David, James L Brooks, Conan O'Brien, Sarah Silverman and Jonah Hill.","['Documentary', 'Biography']"
"A lawyer is forced to defend a judge, while defending other clients, and trying to find punishment for the guilty and provide justice for the innocent.","['Crime', 'Drama', 'Thriller']"
"A paranoid, secretive surveillance expert has a crisis of conscience when he suspects that the couple he is spying on will be murdered.","['Drama', 'Mystery', 'Thriller']"
An examination of the machinations behind the scenes at a real estate office.,"['Crime', 'Drama', 'Mystery']"
"Through exclusive interviews and archival footage, this documentary traces an intimate portrait of seven-time Formula 1 champion Michael Schumacher.","['Documentary', 'Biography', 'Sport']"
The BBC's award winning documentary looking at the impact the death of Ayrton Senna had upon the world of motor racing. Featuring interviews with key people from Senna's life in motor sport.,"['Documentary', 'Biography', 'Sport']"
"Focusing on the career and family of its legendary founder Sir Frank Williams, the British sports documentary tells the extraordinary story of the Williams Formula 1 team, from its inception... Read all","['Documentary', 'Biography', 'Sport']"
The life of five-time Formula One world champion Juan Manuel Fangio. The first official documentary.,"['Documentary', 'Biography', 'Sport']"
"Constructed from over 500 hours of never-before-seen footage, this documentary centers on the career of celebrated football player Diego Maradona, who played for S.S.C. Napoli in the 1980s.","['Documentary', 'Biography', 'Sport']"
"Using state-of-the-art equipment, a group of activists, led by renowned dolphin trainer Ric O'Barry, infiltrate a cove near Taijii, Japan to expose both a shocking instance of animal abuse a... Read all","['Documentary', 'Biography', 'Crime']"
Archival footage and personal testimonials present an intimate portrait of the life and career of British singer/songwriter Amy Winehouse.,"['Documentary', 'Biography', 'Music']"
"The remarkable story of how, in 2009, competing in the most expensive and technologically advanced racing series on Earth, the impossible happened.","['Documentary', 'Sport']"
"When Bryan sets out to uncover the truth about doping in sports, a chance meeting with a Russian scientist transforms his story from a personal experiment into a geopolitical thriller.","['Documentary', 'Sport']"
Docuseries following the FIA Formula One World Championship across multiple seasons.,"['Documentary', 'Sport']"
"The story of Bruce McLaren, the New Zealander who founded the McLaren Motor Racing team. A man who showed the world that a man of humble beginnings could take on the elite of motor racing an... Read all","['Documentary', 'Biography', 'Drama']"
A poor grocery owner becomes a popular goalkeeper.,"['Comedy', 'Family', 'Romance']"
"In his award-winning debut feature film, director Ahmet Ulucay portrays the innocence of childhood and the lure of the cinema for two teens in a small Turkish village. Working for a watermel... Read all","['Comedy', 'Drama', 'Family']"
The life of a poor but happy crowded family is put to a great test when the rich and spoiled Oktay enters their lives.,"['Drama', 'Family']"
"A Turkish remake of 'The Jeffersons'. Ihsan's cleaning business is booming, so he insists that his family leave the 'plain folks' and move up to Etiler with the 'fancy folks.' Ihsan hopes th... Read all","['Comedy', 'Family']"
A girl tries to manage the demands of her traditional family's wishes and her own as she embarks on a journey to marry the love of her life,"['Comedy', 'Drama', 'Family']"
Estranged family members re-unite to determine whether to pull the family patriarch out of life support or not.,"['Comedy', 'Family']"
Mr. Hardy is running for mayor but an old flame of ill repute shows up to blackmail him with an old naughty photograph.,"['Short', 'Comedy', 'Family']"
"Dorothy is swept in a twister from her boring Kansas farm to the wonderful land of Oz, where she makes some friends and is welcomed in the Emerald City.","['Animation', 'Short', 'Comedy']"
"Opposing the evil Barnaby, Ollie Dee and Stanley Dum try and fail to pay-off Mother Peep's mortgage and mislead his attempts to marry Little Bo. Enraged, Barnaby's Bogeymen are set on Toylan... Read all","['Comedy', 'Family', 'Fantasy']"
Dorothy returns to Oz for more exciting adventures in this direct animated sequel to the beloved 1939 film.,"['Animation', 'Short', 'Action']"
This version of The Wizard of Oz is played by the Muppets. A remake of the 1939 film.,"['Adventure', 'Comedy', 'Family']"
"The gang wages war using old vegetables as munitions. Later, they ruin a movie in progress when they double-expose the film.","['Short', 'Comedy', 'Family']"
"Centered around a life science class teacher, ""Afet Hoca"", the humorous and genuine story of high-school students in Ridvan Kanat High School.","['Comedy', 'Drama', 'Family']"
Animated version of the classic story of a young farmgirl who is transported to the magic land of Oz.,"['Animation', 'Family', 'Adventure']"
"A couple with no kids, four city girls and three country boys, all under the same roof: arguing, fighting and sometimes understanding they are not that much different.","['Comedy', 'Drama', 'Family']"
The funny story of Çitir Family and those around this family.,"['Comedy', 'Family']"
Turkey's series about the events experienced in the 1980s.,"['Comedy', 'Family']"
A mermaid princess makes a Faustian bargain in an attempt to become human and win a prince's love.,"['Animation', 'Adventure', 'Family']"
A prince cursed to spend his days as a hideous monster sets out to regain his humanity by earning a young woman's love.,"['Animation', 'Family', 'Fantasy']"
A divorced couple continues live together after they divorce.,"['Comedy', 'Family']"
The son of Zeus and Hera is stripped of his immortality as an infant and must become a true hero in order to reclaim it.,"['Animation', 'Adventure', 'Comedy']"
"When a street urchin finds a lamp with a genie inside, he uses the lamp to turn himself into a prince in order to win the heart of a beautiful princess. But an evil vizier is after the lamp ... Read all","['Animation', 'Family', 'Fantasy']"
A man raised by gorillas must decide where he really belongs when he discovers he is a human.,"['Animation', 'Adventure', 'Comedy']"
"A few decades after her original visit, Mary Poppins, the magical nanny, returns to help the Banks siblings and Michael's children through a difficult time in their lives.","['Adventure', 'Comedy', 'Family']"
Alice stumbles into the world of Wonderland. Will she get home? Not if the Queen of Hearts has her way.,"['Animation', 'Adventure', 'Comedy']"
"Wendy and her brothers are whisked away to the magical world of Neverland with the hero of their stories, Peter Pan.","['Animation', 'Adventure', 'Family']"
"A living puppet, with the help of a cricket as his conscience, must prove himself worthy to become a real boy.","['Animation', 'Adventure', 'Comedy']"
A poor but hopeful boy seeks one of the five coveted golden tickets that will send him on a tour of Willy Wonka's mysterious chocolate factory.,"['Family', 'Fantasy', 'Musical']"
"Exiled into the dangerous forest by her wicked stepmother, a princess is rescued by seven dwarf miners who make her part of their household.","['Animation', 'Adventure', 'Family']"
"When a litter of Dalmatian puppies are abducted by the minions of Cruella De Vil, the owners must find them before she uses them for a diabolical fashion statement.","['Animation', 'Adventure', 'Comedy']"
Bagheera the Panther and Baloo the Bear have a difficult time trying to convince a boy to leave the jungle for human civilization.,"['Animation', 'Adventure', 'Comedy']"
A troubled child summons the courage to help a friendly alien escape from Earth and return to his home planet.,"['Adventure', 'Family', 'Sci-Fi']"
"After being snubbed by the royal family, a malevolent fairy places a curse on a princess which only a prince can break, along with the help of three good fairies.","['Animation', 'Adventure', 'Family']"
The two brothers have a plumbing company and they are trying to invent something that would make the world a better place.,"['Comedy', 'Drama', 'Family']"
"One day, a mother of two children, Hanim starts to work in ""Antep Sofrasi""; a Turkish kebab restaurant which a father of three girls Ali Haydar owns. While he is thickheaded, a bit angry, bu... Read all","['Comedy', 'Drama', 'Family']"
A Victorian Englishman bets that with the new steamships and railways he can circumnavigate the globe in eighty days.,"['Adventure', 'Comedy', 'Family']"
"The dramatic lives of trapeze artists, a clown, and an elephant trainer are told against a background of circus spectacle.","['Drama', 'Family', 'Romance']"
"After being sold to a mortician, young orphan Oliver Twist runs away and meets a group of boys trained to be pickpockets by an elderly mentor in 1830s London.","['Drama', 'Family', 'Musical']"
"After the animal communicating veterinarian goes too far for his clientele, he and his friends escape their hometown to the sea in search of the Great Pink Sea Snail.","['Adventure', 'Comedy', 'Family']"
"In pre-revolutionary Russia, a Jewish peasant with traditional values contends with marrying off three of his daughters with modern romantic ideals while growing anti-Semitic sentiment threa... Read all","['Drama', 'Family', 'Musical']"
Traveling con artist Harold Hill targets the naïve residents of a small town in 1910s Iowa by posing as a boys' band leader to raise money before he can skip town.,"['Comedy', 'Family', 'Musical']"
"At the turn of the century in a Welsh mining village, the Morgans, he stern, she gentle, raise coal-mining sons and hope their youngest will find a better life.","['Drama', 'Family']"
"A series of eight famous pieces of classical music, conducted by Leopold Stokowski and interpreted in animation by Walt Disney's team of artists.","['Animation', 'Family', 'Fantasy']"
Sophie reflects on the shared joy and private melancholy of a holiday she took with her father twenty years earlier. Memories real and imagined fill the gaps between as she tries to reconcil... Read all,['Drama']
"A girl who thinks she is a combat cyborg checks into a mental hospital, where she encounters other psychotics. Eventually, she falls for a man who thinks he can steal people's souls.","['Comedy', 'Drama', 'Romance']"
Two misfits form an unlikely relationship after a woman breaks into a man's house only to discover him in the midst of a suicide attempt.,"['Comedy', 'Romance']"
Tae-rang is a successful upscale shaman with great looks. Unfortunately her love life is stunted by a prophecy that destines her to marry the unattractive and lazy Seung-won. As an alternati... Read all,"['Comedy', 'Romance']"
"When a young mother reconsiders abandoning her baby, she discovers a scheme selling foundlings for adoption.","['Comedy', 'Crime', 'Drama']"
A young woman suspects her new boyfriend of infidelity and discovers that he actually has two other girlfriends. She meets the other women and the three of them become best friends.,['Comedy']
"High school guys must find the killer of their classmate before the next class start, in 40 minutes.","['Action', 'Crime', 'Drama']"
A social satire about the last heir of a dethroned family of European monarchs whose plans to return to power through revolution become secondary after he becomes fascinated by the life of a... Read all,"['Drama', 'Comedy']"
"A conservative judge is appointed by the President to spearhead America's escalating war against drugs, only to discover that his teenage daughter is a crack addict. Two DEA agents protect a... Read all","['Crime', 'Drama', 'Thriller']"
"Los Angeles citizens with vastly separate lives collide in interweaving stories of race, loss and redemption.","['Crime', 'Drama', 'Thriller']"
"The story of American gay activist Harvey Milk, who fought for gay rights and was elected as California's first openly gay official.","['Biography', 'Drama', 'History']"
A teenager who dies during childbirth leaves clues in her journal that could tie her child to a rape involving a violent Russian mob family.,"['Crime', 'Drama', 'Thriller']"
"The tragic murder of a 19-year-old girl reunites three childhood friends still living in Boston--the victim's gangster father, a detective, and the disturbed man they both suspect of killing... Read all","['Crime', 'Drama', 'Mystery']"
The effects of the 9/11 terrorist attacks are told from different points of view around the world.,['Drama']
"An acclaimed documentarian goes on an introspective journey through surreal dreamscapes to reconcile with the past, the present and his Mexican identity.","['Comedy', 'Drama']"
"The factual story of Spaniard Ramon Sampedro, who fought a 28-year campaign in favor of euthanasia and his own right to die.","['Biography', 'Drama']"
"Based on true accounts, the superficial lines between subject and bystander are blurred and bound together, allowing individuals to walk in a vast space and thoroughly live a fragment of the... Read all","['Short', 'Drama']"
"Two friends on a summer holiday in Spain become enamored with the same painter, unaware that his ex-wife, with whom he has a tempestuous relationship, is about to re-enter the picture.","['Comedy', 'Drama', 'Romance']"
,"['Short', 'Sport']"
"The life of Cuban poet and novelist, Reinaldo Arenas.","['Biography', 'Drama', 'Romance']"
"Heinrich Harrer, an Austrian climber, breaks out of prison and travels to the holy city of Lhasa. He is employed as an instructor to the 14th Dalai Lama and soon becomes his close confidante... Read all","['Adventure', 'Biography', 'Drama']"
"Robert Ford, who has idolized Jesse James since childhood, tries hard to join the resurgent gang of the Missouri outlaw, but gradually becomes resentful of the bandit leader.","['Biography', 'Crime', 'Drama']"
"The story of a family in Waco, Texas in 1956. The eldest son witnesses the loss of innocence and struggles with his parents' conflicting teachings.","['Drama', 'Fantasy']"
"A documentary about the making of David Fincher's 2008 film The Curious Case of Benjamin Button. The documentary follows the project's beginning during the 1990s, filming on location in New ... Read all",['Documentary']
A short blooper reel from the filming of 13 Going on 30.,"['Short', 'Comedy']"
"A vast and detailed look into the behind the scenes of Captain Phillips (2013). Paul Greengrass, Tom Hanks, cast and crew members of the film takes us to a tour inside the ship and its actua... Read all",['Documentary']
"The story of Michael Oher, a homeless and traumatized boy who became an All-American football player and first-round NFL draft pick with the help of a caring woman and her family.","['Biography', 'Drama', 'Sport']"
One of 9 Behind the Scenes DVD extras from the release of We're the Millers 2,"['Short', 'Comedy', 'Crime']"
Behind-the-scenes of Zodiac (2007).,"['Documentary', 'Short']"
"Dorothy Vaughan, Mary Jackson, Katherine Johnson, and Christine Darden were good at math...really good. They participated in some of NASA's greatest successes, like providing the calculation... Read all","['Animation', 'Short']"
"A new take on the magical Harry Potter universe staring newt, a wizard carrying a case full of magical creatures.",['Short']
An alternate ending to Pride and Prejudice featuring Elizabeth and Mr. Darcy having a conversation at Pemberley after they have married.,"['Short', 'Romance']"
Several survivors of a torpedoed merchant ship in World War II find themselves in the same lifeboat with one of the crew members of the U-boat that sank their ship.,"['Drama', 'War']"
"A man in London tries to help a counter-espionage agent, but when the agent is killed and the man stands accused, he must go on the run to save himself and stop a spy ring that is trying to ... Read all","['Crime', 'Mystery', 'Thriller']"
"On the eve of World War II, a young American reporter tries to expose enemy agents in London.","['Action', 'Romance', 'Thriller']"
"A comedy-drama about a bereaved mother, and overwrought actress, her jealous lover, and a pregnant nun.","['Comedy', 'Drama', 'Romance']"
Two men share an odd friendship while they care for two women who are both in deep comas.,"['Drama', 'Mystery', 'Romance']"
"After her death, a mother returns to her home town in order to fix the situations she couldn't resolve during her life.","['Comedy', 'Drama']"
,"['Documentary', 'Short']"
"Ernesto Guevara de la Serna, popularly known as Che, along with his friend Alberto Granado, decides to take a road trip across South America. His experiences on the journey transform him.","['Adventure', 'Biography', 'Drama']"
An examination on the effect of Franco-era religious schooling and sexual abuse on the lives of two longtime friends.,"['Crime', 'Drama']"
